Current Date,Next Date,HCHO reading,Region,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN,Population,Area_sq_km,population_density,Proximity(km),carbon_monoxide,nitogen_dioxide,ozone,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status
2019-01-01,2019-01-02,5.830909719406619e-05,Jaffna Proper,9.66,80.0,5,0.0,77.162,79.55600000000001,75.05600000000001,617000,1025,601.95,0,0.03730087727308273,9.312061592936516e-06,0.11731676012277603,0,0,Before,Before
2019-01-02,2019-01-03,0.0001017952795536,Jaffna Proper,9.66,80.0,5,0.0,77.126,79.79,74.57,617000,1025,601.95,0,0.03642573952674866,1.530528606963344e-05,0.11731676012277603,0,0,Before,Before
2019-01-03,2019-01-04,3.93133105404262e-05,Jaffna Proper,9.66,80.0,5,0.0,77.63,80.312,75.398,617000,1025,601.95,0,0.032318949699401855,1.4067022675590124e-05,0.11731676012277603,0,0,Before,Before
2019-01-04,2019-01-05,-2.3839846576184498e-06,Jaffna Proper,9.66,80.0,5,0.0,77.55799999999999,80.312,75.11,617000,1025,601.95,0,0.033744897693395615,1.1396631634852383e-05,0.11731676012277603,0,0,Before,Before
2019-01-05,2019-01-06,0.0001589137302293,Jaffna Proper,9.66,80.0,5,0.03,77.99000000000001,80.50999999999999,75.938,617000,1025,601.95,0,0.03312048688530922,8.616229024482891e-06,0.11731676012277603,0,0,Before,Before
2019-01-06,2019-01-07,7.539679629744287e-05,Jaffna Proper,9.66,80.0,5,0.0,77.918,80.834,75.398,617000,1025,601.95,0,0.03425106033682823,1.114653150580125e-05,0.11731676012277603,0,0,Before,Before
2019-01-07,2019-01-08,0.0001799237734955,Jaffna Proper,9.66,80.0,5,0.0,78.386,80.744,76.154,617000,1025,601.95,0,0.035192232578992844,1.3824351299263071e-05,0.11731676012277603,0,0,Before,Before
2019-01-08,2019-01-09,9.470708011674723e-05,Jaffna Proper,9.66,80.0,5,0.0,78.116,81.14,75.38,617000,1025,601.95,0,0.03543964773416519,1.6579768271185458e-05,0.11731676012277603,0,0,Before,Before
2019-01-09,2019-01-10,2.109364950895559e-06,Jaffna Proper,9.66,80.0,5,0.0,77.27,80.276,74.3,617000,1025,601.95,0,0.03542765602469444,1.367167988064466e-05,0.11731676012277603,0,0,Before,Before
2019-01-10,2019-01-11,0.0001318967807501,Jaffna Proper,9.66,80.0,5,0.0,77.288,79.952,74.768,617000,1025,601.95,0,0.03706813603639603,1.0850959370145574e-05,0.11731676012277603,0,0,Before,Before
2019-01-11,2019-01-12,0.0001337016372402,Jaffna Proper,9.66,80.0,5,0.03,77.792,80.42,75.47,617000,1025,601.95,0,0.03610279783606529,1.1158470442751423e-05,0.11731676012277603,0,0,Before,Before
2019-01-12,2019-01-13,5.9570030841276426e-05,Jaffna Proper,9.66,80.0,5,0.25,78.62,81.19399999999999,76.766,617000,1025,601.95,0,0.034160856157541275,1.0872996426769532e-05,0.11731676012277603,0,0,Before,Before
2019-01-13,2019-01-14,-4.157867137825242e-05,Jaffna Proper,9.66,80.0,5,0.46,78.818,81.068,77.018,617000,1025,601.95,0,0.03554809093475342,1.9269096810603514e-05,0.11731676012277603,0,0,Before,Before
2019-01-14,2019-01-15,2.010835129084908e-05,Jaffna Proper,9.66,80.0,5,0.05,79.124,81.428,77.45,617000,1025,601.95,0,0.03607684001326561,1.0696190656744875e-05,0.11731676012277603,0,0,Before,Before
2019-01-15,2019-01-16,3.94847944175773e-05,Jaffna Proper,9.66,80.0,5,0.02,78.62,80.996,76.80199999999999,617000,1025,601.95,0,0.03693829104304314,1.0824955097632483e-05,0.11731676012277603,0,0,Before,Before
2019-01-16,2019-01-17,6.686277882732807e-05,Jaffna Proper,9.66,80.0,5,0.01,78.458,81.032,76.46,617000,1025,601.95,0,0.03393206000328064,8.406527740589809e-06,0.11731676012277603,0,0,Before,Before
2019-01-17,2019-01-18,5.18184452543004e-05,Jaffna Proper,9.66,80.0,5,0.0,77.738,80.564,75.30799999999999,617000,1025,601.95,0,0.04077859967947006,9.059825060830917e-06,0.11731676012277603,0,0,Before,Before
2019-01-18,2019-01-19,9.154995885051224e-05,Jaffna Proper,9.66,80.0,5,0.05,77.27,80.33,75.128,617000,1025,601.95,0,0.03622592530316777,1.3985636542201973e-05,0.11731676012277603,0,0,Before,Before
2019-01-19,2019-01-20,1.707625620314082e-05,Jaffna Proper,9.66,80.0,5,0.04,76.78399999999999,79.718,74.408,617000,1025,601.95,0,0.03841656073927879,1.1881557838933077e-05,0.11731676012277603,0,0,Before,Before
2019-01-20,2019-01-21,-5.2767861370760775e-05,Jaffna Proper,9.66,80.0,5,0.04,77.19800000000001,80.384,74.768,617000,1025,601.95,0,0.03801434487104416,1.0842187293746974e-05,0.11731676012277603,0,0,Before,Before
2019-01-21,2019-01-22,0.0001840677559424,Jaffna Proper,9.66,80.0,5,0.01,77.21600000000001,80.69,74.44399999999999,617000,1025,601.95,0,0.03673320543020964,1.1064435966545716e-05,0.11731676012277603,0,0,Before,Before
2019-01-22,2019-01-23,9.561663077100936e-05,Jaffna Proper,9.66,80.0,5,0.03,77.594,80.906,74.714,617000,1025,601.95,0,0.03895639255642891,1.3198212400311604e-05,0.11731676012277603,0,0,Before,Before
2019-01-23,2019-01-24,0.0001003762537841,Jaffna Proper,9.66,80.0,5,0.01,78.386,81.5,75.794,617000,1025,601.95,0,0.04061952233314514,1.3712058716919273e-05,0.11731676012277603,0,0,Before,Before
2019-01-24,2019-01-25,7.40591053869194e-05,Jaffna Proper,9.66,80.0,5,0.0,79.196,82.67,76.44200000000001,617000,1025,601.95,0,0.04253419488668442,1.5565568901365623e-05,0.11731676012277603,0,0,Before,Before
2019-01-25,2019-01-26,8.133567760369957e-05,Jaffna Proper,9.66,80.0,5,0.03,79.664,82.85,76.55,617000,1025,601.95,0,0.0408935509622097,1.1516570339153986e-05,0.11731676012277603,0,0,Before,Before
2019-01-26,2019-01-27,7.100806903845069e-05,Jaffna Proper,9.66,80.0,5,0.04,80.402,83.804,78.008,617000,1025,601.95,0,0.03997638076543808,8.824232281767763e-06,0.11731676012277603,0,0,Before,Before
2019-01-27,2019-01-28,0.0001575832971284,Jaffna Proper,9.66,80.0,5,0.01,79.934,83.39,77.054,617000,1025,601.95,0,0.03981708735227585,1.0222796845482662e-05,0.11731676012277603,0,0,Before,Before
2019-01-28,2019-01-29,0.0001559252593195,Jaffna Proper,9.66,80.0,5,0.0,79.268,82.724,76.64,617000,1025,601.95,0,0.041242051869630814,1.1250628631387372e-05,0.11731676012277603,0,0,Before,Before
2019-01-29,2019-01-30,0.0001565067390967,Jaffna Proper,9.66,80.0,5,0.01,79.05199999999999,82.22,76.964,617000,1025,601.95,0,0.040988989174366,1.4185017789714038e-05,0.11731676012277603,0,0,Before,Before
2019-01-30,2019-01-31,7.858827423877602e-05,Jaffna Proper,9.66,80.0,5,0.02,79.142,81.69800000000001,77.018,617000,1025,601.95,0,0.04130574315786362,1.3394031157076824e-05,0.11731676012277603,0,0,Before,Before
2019-01-31,2019-02-01,5.2357333762168965e-05,Jaffna Proper,9.66,80.0,5,0.03,79.268,82.292,76.64,617000,1025,601.95,0,0.03994513675570488,1.1549719602044206e-05,0.11731676012277603,0,0,Before,Before
2019-02-01,2019-02-02,3.92767249346337e-05,Jaffna Proper,9.66,80.0,5,0.11,79.268,82.13,76.982,617000,1025,601.95,0,0.0385969802737236,9.634640264266636e-06,0.11731676012277603,0,0,Before,Before
2019-02-02,2019-02-03,4.13203491997759e-05,Jaffna Proper,9.66,80.0,5,0.05,79.502,82.49000000000001,77.468,617000,1025,601.95,0,0.04099500551819801,9.516635145701002e-06,0.11731676012277603,0,0,Before,Before
2019-02-03,2019-02-04,7.24383640488506e-05,Jaffna Proper,9.66,80.0,5,0.49,79.736,82.688,77.30600000000001,617000,1025,601.95,0,0.04043179377913475,9.292394679505378e-06,0.11731676012277603,0,0,Before,Before
2019-02-04,2019-02-05,9.00646206284979e-05,Jaffna Proper,9.66,80.0,5,18.69,80.294,82.544,78.584,617000,1025,601.95,0,0.04461245983839035,1.2447217159206048e-05,0.11731676012277603,0,0,Before,Before
2019-02-05,2019-02-06,8.912719943253407e-05,Jaffna Proper,9.66,80.0,5,6.06,80.33,82.994,78.566,617000,1025,601.95,0,0.04333394020795822,8.496372174704447e-06,0.11731676012277603,0,0,Before,Before
2019-02-06,2019-02-07,2.390234104806981e-05,Jaffna Proper,9.66,80.0,5,1.52,79.916,83.03,77.95400000000001,617000,1025,601.95,0,0.045608170330524445,8.429401532339398e-06,0.11731676012277603,0,0,Before,Before
2019-02-07,2019-02-08,0.0001053063940188,Jaffna Proper,9.66,80.0,5,0.08,80.114,83.39,77.21600000000001,617000,1025,601.95,0,0.0390084870159626,1.2973197954124771e-05,0.11731676012277603,0,0,Before,Before
2019-02-08,2019-02-09,0.0001589486283796,Jaffna Proper,9.66,80.0,5,0.03,81.464,84.992,78.368,617000,1025,601.95,0,0.03899170830845833,7.9273395385826e-06,0.11731676012277603,0,0,Before,Before
2019-02-09,2019-02-10,8.587924520412733e-05,Jaffna Proper,9.66,80.0,5,2.44,81.788,85.136,78.764,617000,1025,601.95,0,0.0396173857152462,1.1699296010192484e-05,0.11731676012277603,0,0,Before,Before
2019-02-10,2019-02-11,0.0001535258003232,Jaffna Proper,9.66,80.0,5,0.55,81.23,84.326,79.05199999999999,617000,1025,601.95,0,0.03797212243080139,1.131395674747182e-05,0.11731676012277603,0,0,Before,Before
2019-02-11,2019-02-12,3.2951201334642755e-05,Jaffna Proper,9.66,80.0,5,0.01,81.518,84.63199999999999,79.286,617000,1025,601.95,0,0.04008962959051132,8.75654131959891e-06,0.11731676012277603,0,0,Before,Before
2019-02-12,2019-02-13,6.52509876969887e-05,Jaffna Proper,9.66,80.0,5,0.03,81.392,84.146,79.502,617000,1025,601.95,0,0.03906175121665001,8.10845540399896e-06,0.11731676012277603,0,0,Before,Before
2019-02-13,2019-02-14,8.473493836064989e-05,Jaffna Proper,9.66,80.0,5,0.02,81.122,83.822,79.214,617000,1025,601.95,0,0.03716689348220825,8.357475053344388e-06,0.11731676012277603,0,0,Before,Before
2019-02-14,2019-02-15,4.350650882572056e-05,Jaffna Proper,9.66,80.0,5,0.19,81.464,84.28999999999999,79.376,617000,1025,601.95,0,0.03477737680077553,9.74727936409181e-06,0.11731676012277603,0,0,Before,Before
2019-02-15,2019-02-16,0.0001286444716494,Jaffna Proper,9.66,80.0,5,0.66,81.68,84.776,79.25,617000,1025,601.95,0,0.03773210942745209,8.635841368231922e-06,0.11731676012277603,0,0,Before,Before
2019-02-16,2019-02-17,7.220437792754523e-05,Jaffna Proper,9.66,80.0,5,0.1,82.166,85.928,79.07,617000,1025,601.95,0,0.03875112161040306,9.157444765151013e-06,0.11731676012277603,0,0,Before,Before
2019-02-17,2019-02-18,0.0001996613275805,Jaffna Proper,9.66,80.0,5,0.2,82.418,86.09,78.69200000000001,617000,1025,601.95,0,0.03883695229887962,1.2743168554152362e-05,0.11731676012277603,0,0,Before,Before
2019-02-18,2019-02-19,0.0001144786617752,Jaffna Proper,9.66,80.0,5,1.61,83.138,86.53999999999999,79.826,617000,1025,601.95,0,0.042151592671871185,1.2256531590537634e-05,0.11731676012277603,0,0,Before,Before
2019-02-19,2019-02-20,0.0001779951041252,Jaffna Proper,9.66,80.0,5,1.19,82.706,86.97200000000001,79.55600000000001,617000,1025,601.95,0,0.039043400436639786,1.0468763321114238e-05,0.11731676012277603,0,0,Before,Before
2019-02-20,2019-02-21,9.03136843347107e-05,Jaffna Proper,9.66,80.0,5,0.01,82.04,85.622,79.016,617000,1025,601.95,0,0.03673262894153595,1.0324715731258038e-05,0.11731676012277603,0,0,Before,Before
2019-02-21,2019-02-22,4.6319964771203575e-05,Jaffna Proper,9.66,80.0,5,0.02,82.094,85.28,79.646,617000,1025,601.95,0,0.035216931253671646,1.0073037628899328e-05,0.11731676012277603,0,0,Before,Before
2019-02-22,2019-02-23,5.7038448135490425e-05,Jaffna Proper,9.66,80.0,5,0.01,81.212,84.812,77.99000000000001,617000,1025,601.95,0,0.0319761298596859,1.1401673873479012e-05,0.11731676012277603,0,0,Before,Before
2019-02-23,2019-02-24,2.541906521424961e-05,Jaffna Proper,9.66,80.0,5,0.0,80.54599999999999,84.776,77.63,617000,1025,601.95,0,0.0327109657227993,1.2072273420926649e-05,0.11731676012277603,0,0,Before,Before
2019-02-24,2019-02-25,0.000102055793893,Jaffna Proper,9.66,80.0,5,0.0,80.42,85.046,76.928,617000,1025,601.95,0,0.034922268241643906,9.026870429806877e-06,0.11731676012277603,0,0,Before,Before
2019-02-25,2019-02-26,0.0001436022726529,Jaffna Proper,9.66,80.0,5,0.0,80.654,85.56800000000001,76.118,617000,1025,601.95,0,0.041674964129924774,1.6325353499269113e-05,0.11731676012277603,0,0,Before,Before
2019-02-26,2019-02-27,3.027809876520691e-05,Jaffna Proper,9.66,80.0,5,0.02,82.184,86.43199999999999,78.242,617000,1025,601.95,0,0.04031966254115105,1.019105184241198e-05,0.11731676012277603,0,0,Before,Before
2019-02-27,2019-02-28,0.000135316916096,Jaffna Proper,9.66,80.0,5,0.04,83.066,86.72,79.34,617000,1025,601.95,0,0.03896031156182289,1.391891510138521e-05,0.11731676012277603,0,0,Before,Before
2019-02-28,2019-03-01,0.0002099835616997,Jaffna Proper,9.66,80.0,5,0.13,83.66,87.026,80.492,617000,1025,601.95,0,0.0411284863948822,1.674198210821487e-05,0.11731676012277603,0,0,Before,Before
2019-03-01,2019-03-02,0.0001110385749202,Jaffna Proper,9.66,80.0,5,0.02,83.03,87.386,80.042,617000,1025,601.95,0,0.04528656601905823,1.2869532838521991e-05,0.11731676012277603,0,0,Before,Before
2019-03-02,2019-03-03,5.449465816276849e-05,Jaffna Proper,9.66,80.0,5,0.01,82.598,86.468,79.77199999999999,617000,1025,601.95,0,0.04372968152165413,1.1844760592794046e-05,0.11731676012277603,0,0,Before,Before
2019-03-03,2019-03-04,9.6661204352337e-05,Jaffna Proper,9.66,80.0,5,0.0,82.328,86.27,79.628,617000,1025,601.95,0,0.0416688472032547,1.1227518371015321e-05,0.11731676012277603,0,0,Before,Before
2019-03-04,2019-03-05,9.596860819798644e-05,Jaffna Proper,9.66,80.0,5,0.0,82.166,86.576,78.152,617000,1025,601.95,0,0.03916546702384949,1.0310554898751434e-05,0.11731676012277603,0,0,Before,Before
2019-03-05,2019-03-06,0.00018282723756,Jaffna Proper,9.66,80.0,5,0.0,83.678,87.90799999999999,78.782,617000,1025,601.95,0,0.038149118423461914,1.5683430319768377e-05,0.11731676012277603,0,0,Before,Before
2019-03-06,2019-03-07,3.726789927856213e-05,Jaffna Proper,9.66,80.0,5,0.02,84.866,88.916,80.816,617000,1025,601.95,0,0.03802453726530075,1.0591426871542353e-05,0.11731676012277603,0,0,Before,Before
2019-03-07,2019-03-08,0.0001146398530123,Jaffna Proper,9.66,80.0,5,0.03,85.46000000000001,90.518,81.536,617000,1025,601.95,0,0.04176976531744003,1.8927450582850724e-05,0.11731676012277603,0,0,Before,Before
