Current Date,Next Date,HCHO reading,Region,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN,Population,Area_sq_km,population_density,Proximity(km),carbon_monoxide,nitogen_dioxide,ozone,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status
2019-01-01,2019-01-02,5.803530712000793e-06,"Deniyaya, Matara",6.34,80.55,389,0.27,79.34,84.398,75.56,863000,1283,672.64,44,0.03442108631134033,1.3140424925950356e-05,0.11585557460784912,0,0,Before,Before
2019-01-02,2019-01-03,5.803530712000793e-06,"Deniyaya, Matara",6.34,80.55,389,0.06,78.44,83.31800000000001,74.516,863000,1283,672.64,44,0.03566486015915871,1.6773230527178384e-05,0.11585557460784912,0,0,Before,Before
2019-01-03,2019-01-04,0.0002362357772653,"Deniyaya, Matara",6.34,80.55,389,0.03,78.72800000000001,84.074,74.264,863000,1283,672.64,44,0.033909548074007034,1.6810919987619855e-05,0.11585557460784912,0,0,Before,Before
2019-01-04,2019-01-05,6.437245753953118e-05,"Deniyaya, Matara",6.34,80.55,389,0.02,78.368,83.64200000000001,73.688,863000,1283,672.64,44,0.038113441318273544,1.893773332994897e-05,0.11585557460784912,0,0,Before,Before
2019-01-05,2019-01-06,5.349707092885017e-05,"Deniyaya, Matara",6.34,80.55,389,0.09,79.07,85.11800000000001,73.67,863000,1283,672.64,44,0.03375353664159775,1.8825974620995112e-05,0.11585557460784912,0,0,Before,Before
2019-01-06,2019-01-07,0.0001315594859189,"Deniyaya, Matara",6.34,80.55,389,0.06,78.836,83.732,74.84,863000,1283,672.64,44,0.03401728346943855,1.689067721599713e-05,0.11585557460784912,0,0,Before,Before
2019-01-07,2019-01-08,6.269859896976347e-05,"Deniyaya, Matara",6.34,80.55,389,0.01,79.34,84.776,74.12,863000,1283,672.64,44,0.032487768679857254,2.280958869960159e-05,0.11585557460784912,0,0,Before,Before
2019-01-08,2019-01-09,2.298263979970634e-05,"Deniyaya, Matara",6.34,80.55,389,0.04,80.438,85.712,75.992,863000,1283,672.64,44,0.035344284027814865,2.171819687646348e-05,0.11585557460784912,0,0,Before,Before
2019-01-09,2019-01-10,8.244993730486457e-05,"Deniyaya, Matara",6.34,80.55,389,0.26,80.20400000000001,85.49600000000001,75.74000000000001,863000,1283,672.64,44,0.03737262636423111,1.236400112247793e-05,0.11585557460784912,0,0,Before,Before
2019-01-10,2019-01-11,7.190247186715247e-05,"Deniyaya, Matara",6.34,80.55,389,0.53,80.492,85.874,75.992,863000,1283,672.64,44,0.03517168015241623,1.3931700777902734e-05,0.11585557460784912,0,0,Before,Before
