Current Date,Next Date,HCHO reading,Region,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN,Population,Area_sq_km,population_density,Proximity(km),carbon_monoxide,nitogen_dioxide,ozone,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status
2019-01-01,2019-01-02,1.919914652467399e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.22,71.222,79.07,65.48,40329,476,84.72,53.6,0.03425302729010582,8.341176908288617e-06,0.116661436855793,0,0,Before,Before
2019-01-02,2019-01-03,1.919914652467399e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.03,69.962,78.44,63.536,40329,476,84.72,53.6,0.03329284489154816,9.123887139139697e-06,0.116661436855793,0,0,Before,Before
2019-01-03,2019-01-04,2.811447935930284e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.03,69.854,79.376,62.690000000000005,40329,476,84.72,53.6,0.03419403359293938,1.021111529553309e-05,0.116661436855793,0,0,Before,Before
2019-01-04,2019-01-05,3.747998184385943e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.02,69.584,79.628,62.186,40329,476,84.72,53.6,0.03260031342506409,8.01944679551525e-06,0.116661436855793,0,0,Before,Before
2019-01-05,2019-01-06,-1.7982608793453114e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.14,71.816,81.35600000000001,64.076,40329,476,84.72,53.6,0.03456183150410652,9.655410394771025e-06,0.116661436855793,0,0,Before,Before
2019-01-06,2019-01-07,0.0001457836896179,"Bibile, Monaragala",7.1624,81.2216,151,0.01,70.826,79.52,64.742,40329,476,84.72,53.6,0.031643979251384735,8.901718501874711e-06,0.116661436855793,0,0,Before,Before
2019-01-07,2019-01-08,2.8285908025465342e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.06,71.636,80.528,63.68,40329,476,84.72,53.6,0.031657349318265915,1.2382272871036548e-05,0.116661436855793,0,0,Before,Before
2019-01-08,2019-01-09,4.014676609629141e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.03,72.914,81.23,67.244,40329,476,84.72,53.6,0.03317191132477352,1.4188451132213231e-05,0.116661436855793,0,0,Before,Before
2019-01-09,2019-01-10,0.000142085016705,"Bibile, Monaragala",7.1624,81.2216,151,0.06,72.59,81.014,65.66,40329,476,84.72,53.6,0.037172190845012665,1.014088684314629e-05,0.116661436855793,0,0,Before,Before
2019-01-10,2019-01-11,5.470937332610693e-05,"Bibile, Monaragala",7.1624,81.2216,151,0.13,73.166,81.59,66.27199999999999,40329,476,84.72,53.6,0.03532354161143303,8.704151696292683e-06,0.116661436855793,0,0,Before,Before
