Current Date,Next Date,HCHO reading,Region,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN,Population,Area_sq_km,population_density,Proximity(km),carbon_monoxide,nitogen_dioxide,ozone,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status
2019-01-01,2019-01-02,0.0001908293886956,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,61.0,71.0,49.0,768000,1741,441.13,101,0.03161173686385155,1.2213092304591555e-05,0.11563266068696976,0,0,Before,Before
2019-01-02,2019-01-03,0.0001908293886956,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,59.0,71.0,49.0,768000,1741,441.13,101,0.031380124390125275,1.4960093722038437e-05,0.11563266068696976,0,0,Before,Before
2019-01-03,2019-01-04,0.0001908293886956,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,59.0,71.0,49.0,768000,1741,441.13,101,0.030029287561774254,1.658578730712179e-05,0.11563266068696976,0,0,Before,Before
2019-01-04,2019-01-05,5.0976259171277377e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,59.0,72.0,47.0,768000,1741,441.13,101,0.03237646445631981,1.4738603567820974e-05,0.11563266068696976,0,0,Before,Before
2019-01-05,2019-01-06,6.456645496655256e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,55.0,68.0,48.0,768000,1741,441.13,101,0.03117308020591736,1.626882112759631e-05,0.11563266068696976,0,0,Before,Before
2019-01-06,2019-01-07,8.982348709518115e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,59.0,71.0,37.0,768000,1741,441.13,101,0.02956763282418251,1.740743755362928e-05,0.11563266068696976,0,0,Before,Before
2019-01-07,2019-01-08,4.097797651418246e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,59.0,70.0,46.0,768000,1741,441.13,101,0.02923915535211563,1.8724300389294513e-05,0.11563266068696976,0,0,Before,Before
2019-01-08,2019-01-09,8.743471328855871e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,59.0,69.0,45.0,768000,1741,441.13,101,0.029651986435055733,1.7032321920851246e-05,0.11563266068696976,0,0,Before,Before
2019-01-09,2019-01-10,8.743471328855871e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,61.0,70.0,50.0,768000,1741,441.13,101,0.03302564099431038,1.9284168956801295e-05,0.11563266068696976,0,0,Before,Before
2019-01-10,2019-01-11,8.743471328855871e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,61.0,68.0,52.0,768000,1741,441.13,101,0.03559783846139908,1.3761045920546167e-05,0.11563266068696976,0,0,Before,Before
2019-01-11,2019-01-12,3.914670787137749e-05,Nuwara Eliya Proper,6.967,80.76700000000001,1880.0,0.0,62.0,70.0,53.0,768000,1741,441.13,101,0.031185824424028397,1.682708716543857e-05,0.11563266068696976,0,0,Before,Before
