Current Date,Next Date,HCHO reading
2019-01-01,2019-01-02,1.919914652467399e-05
2019-01-02,2019-01-03,1.919914652467399e-05
2019-01-03,2019-01-04,2.811447935930284e-05
2019-01-04,2019-01-05,3.747998184385943e-05
2019-01-05,2019-01-06,-1.7982608793453114e-05
2019-01-06,2019-01-07,0.0001457836896179
2019-01-07,2019-01-08,2.8285908025465342e-05
2019-01-08,2019-01-09,4.014676609629141e-05
2019-01-09,2019-01-10,0.000142085016705
2019-01-10,2019-01-11,5.470937332610693e-05
2019-01-11,2019-01-12,2.014587947072581e-05
2019-01-12,2019-01-13,0.000158278766321
2019-01-13,2019-01-14,6.237669545271937e-05
2019-01-14,2019-01-15,6.237669545271937e-05
2019-01-15,2019-01-16,9.952823849642218e-05
2019-01-16,2019-01-17,7.484570960514249e-05
2019-01-17,2019-01-18,7.736112226328797e-05
2019-01-18,2019-01-19,7.658117035553502e-05
2019-01-19,2019-01-20,3.9881410104076654e-05
2019-01-20,2019-01-21,0.0001891620203853
2019-01-21,2019-01-22,0.0001159969926423
2019-01-22,2019-01-23,0.0001413523623709
2019-01-23,2019-01-24,7.165379525100222e-05
2019-01-24,2019-01-25,9.882062969101574e-05
2019-01-25,2019-01-26,-2.8553898678860067e-05
2019-01-26,2019-01-27,9.395065187605714e-05
2019-01-27,2019-01-28,0.000180567368996
2019-01-28,2019-01-29,9.113160086427456e-05
2019-01-29,2019-01-30,7.241739856355372e-05
2019-01-30,2019-01-31,9.325598930608887e-05
2019-01-31,2019-02-01,4.098144742473462e-05
2019-02-01,2019-02-02,5.186428352058307e-05
2019-02-02,2019-02-03,8.785952558580589e-05
2019-02-03,2019-02-04,9.26573371339788e-05
2019-02-04,2019-02-05,8.193459455049868e-05
2019-02-05,2019-02-06,7.767679478902351e-05
2019-02-06,2019-02-07,1.051353380619686e-05
2019-02-07,2019-02-08,4.076109671524861e-05
2019-02-08,2019-02-09,7.59353421234044e-05
2019-02-09,2019-02-10,7.052150900174948e-05
2019-02-10,2019-02-11,7.34858268449358e-05
2019-02-11,2019-02-12,1.0584419214865193e-05
2019-02-12,2019-02-13,6.919795120446755e-05
2019-02-13,2019-02-14,4.666548760680451e-05
2019-02-14,2019-02-15,4.666548760680451e-05
2019-02-15,2019-02-16,0.0001623480638954
2019-02-16,2019-02-17,2.6644206895973665e-05
2019-02-17,2019-02-18,0.0001362413198283
2019-02-18,2019-02-19,5.895095797941796e-05
2019-02-19,2019-02-20,7.990708924877695e-05
2019-02-20,2019-02-21,8.647263683420719e-05
2019-02-21,2019-02-22,6.580490440211678e-05
2019-02-22,2019-02-23,0.0001173317679715
2019-02-23,2019-02-24,0.0001372664223727
2019-02-24,2019-02-25,0.0001183587731956
2019-02-25,2019-02-26,8.909237608694378e-05
2019-02-26,2019-02-27,-4.671209171647206e-05
2019-02-27,2019-02-28,8.569218644613822e-05
2019-02-28,2019-03-01,8.569218644613822e-05
2019-03-01,2019-03-02,8.569218644613822e-05
2019-03-02,2019-03-03,0.0002015221799451
2019-03-03,2019-03-04,0.0002333378601804
2019-03-04,2019-03-05,0.0001130560234093
2019-03-05,2019-03-06,8.923271256196186e-05
2019-03-06,2019-03-07,4.2696494065404425e-05
2019-03-07,2019-03-08,0.0001021544478428
2019-03-08,2019-03-09,0.000104415711202
2019-03-09,2019-03-10,0.00010953285330587941
2019-03-10,2019-03-11,0.0001057629100291
2019-03-11,2019-03-12,0.0001954688702953
2019-03-12,2019-03-13,0.0002339561330231
2019-03-13,2019-03-14,0.00014216033425544663
2019-03-14,2019-03-15,5.33002191604215e-05
2019-03-15,2019-03-16,0.000123402480465
2019-03-16,2019-03-17,9.934245878113424e-05
2019-03-17,2019-03-18,0.00012467719341799352
2019-03-18,2019-03-19,1.3218968888395464e-05
2019-03-19,2019-03-20,0.0001449778092531
2019-03-20,2019-03-21,7.633388390013924e-05
2019-03-21,2019-03-22,0.0001480680220993
2019-03-22,2019-03-23,4.698590924918041e-05
2019-03-23,2019-03-24,-1.5467760777977853e-05
2019-03-24,2019-03-25,0.0001512098013132
2019-03-25,2019-03-26,7.338239494073005e-05
2019-03-26,2019-03-27,8.133633841564141e-05
2019-03-27,2019-03-28,9.850572535486576e-05
2019-03-28,2019-03-29,0.0001319502848265
2019-03-29,2019-03-30,9.024971666993913e-05
2019-03-30,2019-03-31,0.000286010842239
2019-03-31,2019-04-01,0.0001691464753809
2019-04-01,2019-04-02,0.0002311358269746
2019-04-02,2019-04-03,0.0001839505016603
2019-04-03,2019-04-04,0.0002120842642893
2019-04-04,2019-04-05,2.6559009192573397e-05
2019-04-05,2019-04-06,8.134434422682388e-05
2019-04-06,2019-04-07,0.0001323410016791
2019-04-07,2019-04-08,0.0001584331711474
2019-04-08,2019-04-09,0.0002055366407123
2019-04-09,2019-04-10,0.0002659180015952
2019-04-10,2019-04-11,0.0001209464124475
2019-04-11,2019-04-12,0.00016964282895165362
