HCHO reading,Location,Current Date,Next Date
0.0001969834395781,Colombo Proper,2019-01-01,2019-01-02
0.0002625522171968,Colombo Proper,2019-01-02,2019-01-03
9.852118897938794e-05,Colombo Proper,2019-01-03,2019-01-04
0.0002099320518114,Colombo Proper,2019-01-04,2019-01-05
0.0001785337298892,Colombo Proper,2019-01-05,2019-01-06
0.0001082296700235,Colombo Proper,2019-01-06,2019-01-07
0.0003926829280477,Colombo Proper,2019-01-07,2019-01-08
9.153156350685353e-05,Colombo Proper,2019-01-08,2019-01-09
0.0001205978992853,Colombo Proper,2019-01-09,2019-01-10
0.0001297723562983,Colombo Proper,2019-01-10,2019-01-11
0.0002239188166801,Colombo Proper,2019-01-11,2019-01-12
0.0001569418094178,Colombo Proper,2019-01-12,2019-01-13
,Colombo Proper,2019-01-13,2019-01-14
0.0001336291906862,Colombo Proper,2019-01-14,2019-01-15
6.374417842690063e-05,Colombo Proper,2019-01-15,2019-01-16
0.0001181062250815,Colombo Proper,2019-01-16,2019-01-17
0.0002472555222423,Colombo Proper,2019-01-17,2019-01-18
3.667525352047757e-05,Colombo Proper,2019-01-18,2019-01-19
0.000405750086815,Colombo Proper,2019-01-19,2019-01-20
0.0001687856216479,Colombo Proper,2019-01-20,2019-01-21
0.0003881549328739,Colombo Proper,2019-01-21,2019-01-22
0.0003282922940445,Colombo Proper,2019-01-22,2019-01-23
0.0002147798144691,Colombo Proper,2019-01-23,2019-01-24
0.000234724519641,Colombo Proper,2019-01-24,2019-01-25
0.0002820915300341,Colombo Proper,2019-01-25,2019-01-26
0.0002507263493088,Colombo Proper,2019-01-26,2019-01-27
0.0001973288435314,Colombo Proper,2019-01-27,2019-01-28
0.0002555121674807,Colombo Proper,2019-01-28,2019-01-29
,Colombo Proper,2019-01-29,2019-01-30
0.000171363573601,Colombo Proper,2019-01-30,2019-01-31
0.0001523802119023,Colombo Proper,2019-01-31,2019-02-01
0.0003537610010169,Colombo Proper,2019-02-01,2019-02-02
0.0002755728995643,Colombo Proper,2019-02-02,2019-02-03
0.0002318846498078,Colombo Proper,2019-02-03,2019-02-04
,Colombo Proper,2019-02-04,2019-02-05
0.0003618487680796,Colombo Proper,2019-02-05,2019-02-06
0.0003430663631539,Colombo Proper,2019-02-06,2019-02-07
0.0002123314538243,Colombo Proper,2019-02-07,2019-02-08
0.0001679798012516,Colombo Proper,2019-02-08,2019-02-09
0.0003816050368887,Colombo Proper,2019-02-09,2019-02-10
0.0002650819171274,Colombo Proper,2019-02-10,2019-02-11
0.0001981789630254,Colombo Proper,2019-02-11,2019-02-12
5.8587178500602015e-05,Colombo Proper,2019-02-12,2019-02-13
0.0002542805951476,Colombo Proper,2019-02-13,2019-02-14
,Colombo Proper,2019-02-14,2019-02-15
0.0002239912172577,Colombo Proper,2019-02-15,2019-02-16
0.0002091493159849,Colombo Proper,2019-02-16,2019-02-17
0.0001262731392288,Colombo Proper,2019-02-17,2019-02-18
0.0002255146318446,Colombo Proper,2019-02-18,2019-02-19
0.0003180786698506,Colombo Proper,2019-02-19,2019-02-20
0.0002720768387394,Colombo Proper,2019-02-20,2019-02-21
0.0002230429464187,Colombo Proper,2019-02-21,2019-02-22
0.0003148949841717,Colombo Proper,2019-02-22,2019-02-23
0.0003274182238715,Colombo Proper,2019-02-23,2019-02-24
0.0002362989851716,Colombo Proper,2019-02-24,2019-02-25
0.0002424675429303,Colombo Proper,2019-02-25,2019-02-26
0.000156459748926,Colombo Proper,2019-02-26,2019-02-27
0.0001542016842877,Colombo Proper,2019-02-27,2019-02-28
0.0002270067709833,Colombo Proper,2019-02-28,2019-03-01
,Colombo Proper,2019-03-01,2019-03-02
,Colombo Proper,2019-03-02,2019-03-03
0.0002934140276437,Colombo Proper,2019-03-03,2019-03-04
0.0002222321497741,Colombo Proper,2019-03-04,2019-03-05
0.0004259884693025,Colombo Proper,2019-03-05,2019-03-06
0.000135851958492,Colombo Proper,2019-03-06,2019-03-07
0.0002023807303628,Colombo Proper,2019-03-07,2019-03-08
0.0001644238164367,Colombo Proper,2019-03-08,2019-03-09
,Colombo Proper,2019-03-09,2019-03-10
0.0002969609827467,Colombo Proper,2019-03-10,2019-03-11
0.0002401309050569,Colombo Proper,2019-03-11,2019-03-12
0.0002577451751777,Colombo Proper,2019-03-12,2019-03-13
0.0002548286008604,Colombo Proper,2019-03-13,2019-03-14
0.0003018449398759,Colombo Proper,2019-03-14,2019-03-15
0.0001790542755015,Colombo Proper,2019-03-15,2019-03-16
0.0003507194301071,Colombo Proper,2019-03-16,2019-03-17
0.0002494769497451,Colombo Proper,2019-03-17,2019-03-18
,Colombo Proper,2019-03-18,2019-03-19
0.0002074590335083,Colombo Proper,2019-03-19,2019-03-20
0.0002559950022304,Colombo Proper,2019-03-20,2019-03-21
,Colombo Proper,2019-03-21,2019-03-22
0.0002689655073385,Colombo Proper,2019-03-22,2019-03-23
0.000144005550838,Colombo Proper,2019-03-23,2019-03-24
0.0002204458373225,Colombo Proper,2019-03-24,2019-03-25
0.0003577663287879,Colombo Proper,2019-03-25,2019-03-26
0.0002631266925609,Colombo Proper,2019-03-26,2019-03-27
0.0003646052956171,Colombo Proper,2019-03-27,2019-03-28
0.0003906452278091,Colombo Proper,2019-03-28,2019-03-29
0.0002540006405394,Colombo Proper,2019-03-29,2019-03-30
0.0002202186895424,Colombo Proper,2019-03-30,2019-03-31
0.0001155774606754,Colombo Proper,2019-03-31,2019-04-01
0.0001234932174866,Colombo Proper,2019-04-01,2019-04-02
0.0002688230247372,Colombo Proper,2019-04-02,2019-04-03
,Colombo Proper,2019-04-03,2019-04-04
0.0002401417063094,Colombo Proper,2019-04-04,2019-04-05
0.0001694011577926,Colombo Proper,2019-04-05,2019-04-06
0.0001030405027441,Colombo Proper,2019-04-06,2019-04-07
0.00017994348916,Colombo Proper,2019-04-07,2019-04-08
0.0001938136388473,Colombo Proper,2019-04-08,2019-04-09
0.0002005766244694,Colombo Proper,2019-04-09,2019-04-10
0.0002045066130365,Colombo Proper,2019-04-10,2019-04-11
0.0002787301089676,Colombo Proper,2019-04-11,2019-04-12
0.000250075849252,Colombo Proper,2019-04-12,2019-04-13
0.000334870158729,Colombo Proper,2019-04-13,2019-04-14
,Colombo Proper,2019-04-14,2019-04-15
,Colombo Proper,2019-04-15,2019-04-16
,Colombo Proper,2019-04-16,2019-04-17
,Colombo Proper,2019-04-17,2019-04-18
0.0001927819063126,Colombo Proper,2019-04-18,2019-04-19
,Colombo Proper,2019-04-19,2019-04-20
0.000144213058033,Colombo Proper,2019-04-20,2019-04-21
0.0001454167284999,Colombo Proper,2019-04-21,2019-04-22
0.0001711205695593,Colombo Proper,2019-04-22,2019-04-23
0.000293224440643,Colombo Proper,2019-04-23,2019-04-24
0.0001399382956399,Colombo Proper,2019-04-24,2019-04-25
9.581443666026756e-05,Colombo Proper,2019-04-25,2019-04-26
,Colombo Proper,2019-04-26,2019-04-27
,Colombo Proper,2019-04-27,2019-04-28
,Colombo Proper,2019-04-28,2019-04-29
,Colombo Proper,2019-04-29,2019-04-30
,Colombo Proper,2019-04-30,2019-05-01
9.747576626042276e-05,Colombo Proper,2019-05-01,2019-05-02
,Colombo Proper,2019-05-02,2019-05-03
,Colombo Proper,2019-05-03,2019-05-04
0.0001008724552225,Colombo Proper,2019-05-04,2019-05-05
,Colombo Proper,2019-05-05,2019-05-06
3.904429319723554e-05,Colombo Proper,2019-05-06,2019-05-07
0.0001174876039439,Colombo Proper,2019-05-07,2019-05-08
0.000101303794324,Colombo Proper,2019-05-08,2019-05-09
9.939428098153852e-05,Colombo Proper,2019-05-09,2019-05-10
0.000125364158271,Colombo Proper,2019-05-10,2019-05-11
0.0001274753051841,Colombo Proper,2019-05-11,2019-05-12
8.802823548435995e-05,Colombo Proper,2019-05-12,2019-05-13
2.4982204901168622e-05,Colombo Proper,2019-05-13,2019-05-14
0.0001810438022415,Colombo Proper,2019-05-14,2019-05-15
0.0001394291724461,Colombo Proper,2019-05-15,2019-05-16
0.0001171367229027,Colombo Proper,2019-05-16,2019-05-17
0.0001095084478863,Colombo Proper,2019-05-17,2019-05-18
9.525618991159472e-05,Colombo Proper,2019-05-18,2019-05-19
8.700221402162398e-05,Colombo Proper,2019-05-19,2019-05-20
0.0003986268368399,Colombo Proper,2019-05-20,2019-05-21
,Colombo Proper,2019-05-21,2019-05-22
,Colombo Proper,2019-05-22,2019-05-23
0.0002171247684173,Colombo Proper,2019-05-23,2019-05-24
,Colombo Proper,2019-05-24,2019-05-25
0.0001897835067573,Colombo Proper,2019-05-25,2019-05-26
0.00011078022387,Colombo Proper,2019-05-26,2019-05-27
0.0001368899250486,Colombo Proper,2019-05-27,2019-05-28
0.000165996737955,Colombo Proper,2019-05-28,2019-05-29
-2.056808215846379e-05,Colombo Proper,2019-05-29,2019-05-30
0.0002179323946145,Colombo Proper,2019-05-30,2019-05-31
9.379307690791867e-05,Colombo Proper,2019-05-31,2019-06-01
7.067572073902713e-05,Colombo Proper,2019-06-01,2019-06-02
0.0001658041001064,Colombo Proper,2019-06-02,2019-06-03
0.0001609821398171,Colombo Proper,2019-06-03,2019-06-04
8.42250633206326e-05,Colombo Proper,2019-06-04,2019-06-05
,Colombo Proper,2019-06-05,2019-06-06
,Colombo Proper,2019-06-06,2019-06-07
,Colombo Proper,2019-06-07,2019-06-08
0.0001221799295052,Colombo Proper,2019-06-08,2019-06-09
0.0001843041391111,Colombo Proper,2019-06-09,2019-06-10
,Colombo Proper,2019-06-10,2019-06-11
8.17687223806277e-05,Colombo Proper,2019-06-11,2019-06-12
0.0001880614290712,Colombo Proper,2019-06-12,2019-06-13
2.3285886143280304e-05,Colombo Proper,2019-06-13,2019-06-14
8.209911205126233e-05,Colombo Proper,2019-06-14,2019-06-15
0.0001636562089987,Colombo Proper,2019-06-15,2019-06-16
,Colombo Proper,2019-06-16,2019-06-17
0.0001534455988928,Colombo Proper,2019-06-17,2019-06-18
0.000158330813573,Colombo Proper,2019-06-18,2019-06-19
0.0001450758394609,Colombo Proper,2019-06-19,2019-06-20
,Colombo Proper,2019-06-20,2019-06-21
,Colombo Proper,2019-06-21,2019-06-22
0.0001403497627398,Colombo Proper,2019-06-22,2019-06-23
1.9792269443138506e-05,Colombo Proper,2019-06-23,2019-06-24
