Current Date,Next Date,HCHO reading
2019-01-01,2019-01-02,8.829725542537962e-05
2019-01-02,2019-01-03,0.0001370787402778
2019-01-03,2019-01-04,0.0001480085027113
2019-01-04,2019-01-05,-2.046379059735541e-06
2019-01-05,2019-01-06,0.0002489134742856
2019-01-06,2019-01-07,0.0001015583300177
2019-01-07,2019-01-08,0.000191905666819
2019-01-08,2019-01-09,0.0001215500456138
2019-01-09,2019-01-10,9.741700467262771e-05
2019-01-10,2019-01-11,0.0001130342628012
2019-01-11,2019-01-12,7.047632943988818e-05
2019-01-12,2019-01-13,0.0001691712548577
2019-01-13,2019-01-14,0.00012378037398852167
2019-01-14,2019-01-15,0.0001270061120397164
2019-01-15,2019-01-16,8.792493954777681e-05
2019-01-16,2019-01-17,6.834336052834083e-05
2019-01-17,2019-01-18,0.0001380624797849
2019-01-18,2019-01-19,0.0001738223309452
2019-01-19,2019-01-20,0.00012354118008655598
2019-01-20,2019-01-21,9.75617828184706e-05
2019-01-21,2019-01-22,0.0001959789194475
2019-01-22,2019-01-23,0.0002374446632005
2019-01-23,2019-01-24,0.0001623734482581
2019-01-24,2019-01-25,0.00014376996958333875
2019-01-25,2019-01-26,0.0001278521652785
2019-01-26,2019-01-27,0.0001660436439104
2019-01-27,2019-01-28,0.0001499965666254
2019-01-28,2019-01-29,0.0001080499254242
2019-01-29,2019-01-30,0.0001158141900096
2019-01-30,2019-01-31,0.0001113523173507
2019-01-31,2019-02-01,2.449285979142846e-05
2019-02-01,2019-02-02,0.0001926267275908
2019-02-02,2019-02-03,4.824408500716178e-05
2019-02-03,2019-02-04,-3.666930620912048e-05
2019-02-04,2019-02-05,0.00012770935540908082
2019-02-05,2019-02-06,0.00012455807424098818
2019-02-06,2019-02-07,0.0001913403998944
2019-02-07,2019-02-08,0.0002947662047032
2019-02-08,2019-02-09,0.0002970068599097
2019-02-09,2019-02-10,0.00013470242634720697
2019-02-10,2019-02-11,7.523556172334847e-05
2019-02-11,2019-02-12,0.0001297080667525
2019-02-12,2019-02-13,6.270259499786078e-05
2019-02-13,2019-02-14,8.990000185560485e-05
2019-02-14,2019-02-15,7.931416535107657e-05
2019-02-15,2019-02-16,6.0740207710781725e-05
2019-02-16,2019-02-17,0.0001423015625442747
2019-02-17,2019-02-18,0.0001501712095351
2019-02-18,2019-02-19,0.0002017258506288
2019-02-19,2019-02-20,0.0002586245505792
2019-02-20,2019-02-21,8.79509593267587e-05
2019-02-21,2019-02-22,0.0001464546481548
2019-02-22,2019-02-23,0.0001375125401253
2019-02-23,2019-02-24,0.0001289255297968381
2019-02-24,2019-02-25,0.0002361983539606
2019-02-25,2019-02-26,8.145316466296842e-05
2019-02-26,2019-02-27,0.0001796735993672
2019-02-27,2019-02-28,0.0002322736580558
2019-02-28,2019-03-01,0.00019271510983550247
2019-03-01,2019-03-02,0.00019271510983550247
2019-03-02,2019-03-03,0.0002262031094414
2019-03-03,2019-03-04,0.0001259866889363
2019-03-04,2019-03-05,0.0001714544313468
2019-03-05,2019-03-06,0.0001342028527037
2019-03-06,2019-03-07,0.0001580027758568
2019-03-07,2019-03-08,0.0001892068657825
2019-03-08,2019-03-09,0.0001039425656943
2019-03-09,2019-03-10,0.00016023997118477684
2019-03-10,2019-03-11,0.0001568034910526
2019-03-11,2019-03-12,0.0002545370341487
2019-03-12,2019-03-13,0.0001662309292288
2019-03-13,2019-03-14,0.00016996048543434827
2019-03-14,2019-03-15,0.000265097141989
2019-03-15,2019-03-16,0.0002519274524677
2019-03-16,2019-03-17,0.0001508674249008
2019-03-17,2019-03-18,0.0001988515444004
2019-03-18,2019-03-19,0.0001031316549134
2019-03-19,2019-03-20,0.0002291439663551
2019-03-20,2019-03-21,0.0002245213685455
2019-03-21,2019-03-22,0.00021418344434891818
2019-03-22,2019-03-23,0.0002345326298606
2019-03-23,2019-03-24,0.0002848332356072
2019-03-24,2019-03-25,0.0001985107134155
2019-03-25,2019-03-26,0.0001921681911026
2019-03-26,2019-03-27,0.0002917578396021
2019-03-27,2019-03-28,0.0002145357887933182
2019-03-28,2019-03-29,0.0002076575167296
2019-03-29,2019-03-30,0.0002162992822619017
2019-03-30,2019-03-31,0.0003155841150722
2019-03-31,2019-04-01,0.0002005128354287
2019-04-01,2019-04-02,0.0001913736846052
2019-04-02,2019-04-03,0.0002292592673599
2019-04-03,2019-04-04,0.0001856483874482
2019-04-04,2019-04-05,0.0001997694690952
2019-04-05,2019-04-06,0.0001986475720932
2019-04-06,2019-04-07,0.0002038335707743
2019-04-07,2019-04-08,0.0002632298358881
2019-04-08,2019-04-09,0.0002901479325215
2019-04-09,2019-04-10,0.0001645179947213
2019-04-10,2019-04-11,0.0001457744638877
2019-04-11,2019-04-12,0.00021569159407462498
2019-04-12,2019-04-13,0.00023470977033
2019-04-13,2019-04-14,0.0002282964378382
2019-04-14,2019-04-15,0.00021307588199614546
