Current Date,Next Date,HCHO reading
2019-01-01,2019-01-02,5.830909719406619e-05
2019-01-02,2019-01-03,0.0001017952795536
2019-01-03,2019-01-04,3.93133105404262e-05
2019-01-04,2019-01-05,-2.3839846576184498e-06
2019-01-05,2019-01-06,0.0001589137302293
2019-01-06,2019-01-07,7.539679629744287e-05
2019-01-07,2019-01-08,0.0001799237734955
2019-01-08,2019-01-09,9.470708011674723e-05
2019-01-09,2019-01-10,2.109364950895559e-06
2019-01-10,2019-01-11,0.0001318967807501
2019-01-11,2019-01-12,0.0001337016372402
2019-01-12,2019-01-13,5.9570030841276426e-05
2019-01-13,2019-01-14,-4.157867137825242e-05
2019-01-14,2019-01-15,2.010835129084908e-05
2019-01-15,2019-01-16,3.94847944175773e-05
2019-01-16,2019-01-17,6.686277882732807e-05
2019-01-17,2019-01-18,5.18184452543004e-05
2019-01-18,2019-01-19,9.154995885051224e-05
2019-01-19,2019-01-20,1.707625620314082e-05
2019-01-20,2019-01-21,-5.2767861370760775e-05
2019-01-21,2019-01-22,0.0001840677559424
2019-01-22,2019-01-23,9.561663077100936e-05
2019-01-23,2019-01-24,0.0001003762537841
2019-01-24,2019-01-25,7.40591053869194e-05
2019-01-25,2019-01-26,8.133567760369957e-05
2019-01-26,2019-01-27,7.100806903845069e-05
2019-01-27,2019-01-28,0.0001575832971284
2019-01-28,2019-01-29,0.0001559252593195
2019-01-29,2019-01-30,0.0001565067390967
2019-01-30,2019-01-31,7.858827423877602e-05
2019-01-31,2019-02-01,5.2357333762168965e-05
2019-02-01,2019-02-02,3.92767249346337e-05
2019-02-02,2019-02-03,4.13203491997759e-05
2019-02-03,2019-02-04,7.24383640488506e-05
2019-02-04,2019-02-05,9.00646206284979e-05
2019-02-05,2019-02-06,8.912719943253407e-05
2019-02-06,2019-02-07,2.390234104806981e-05
2019-02-07,2019-02-08,0.0001053063940188
2019-02-08,2019-02-09,0.0001589486283796
2019-02-09,2019-02-10,8.587924520412733e-05
2019-02-10,2019-02-11,0.0001535258003232
2019-02-11,2019-02-12,3.2951201334642755e-05
2019-02-12,2019-02-13,6.52509876969887e-05
2019-02-13,2019-02-14,8.473493836064989e-05
2019-02-14,2019-02-15,4.350650882572056e-05
2019-02-15,2019-02-16,0.0001286444716494
2019-02-16,2019-02-17,7.220437792754523e-05
2019-02-17,2019-02-18,0.0001996613275805
2019-02-18,2019-02-19,0.0001144786617752
2019-02-19,2019-02-20,0.0001779951041252
2019-02-20,2019-02-21,9.03136843347107e-05
2019-02-21,2019-02-22,4.6319964771203575e-05
2019-02-22,2019-02-23,5.7038448135490425e-05
2019-02-23,2019-02-24,2.5419065214249614e-05
2019-02-24,2019-02-25,0.000102055793893
2019-02-25,2019-02-26,0.0001436022726529
2019-02-26,2019-02-27,3.027809876520691e-05
2019-02-27,2019-02-28,0.000135316916096
2019-02-28,2019-03-01,0.0002099835616997
2019-03-01,2019-03-02,0.0001110385749202801
2019-03-02,2019-03-03,5.449465816276849e-05
2019-03-03,2019-03-04,9.6661204352337e-05
2019-03-04,2019-03-05,9.596860819798644e-05
2019-03-05,2019-03-06,0.00018282723756
2019-03-06,2019-03-07,3.726789927856213e-05
2019-03-07,2019-03-08,0.0001146398530123
2019-03-08,2019-03-09,5.839432739258154e-05
2019-03-09,2019-03-10,0.0001054031488336675
2019-03-10,2019-03-11,6.468785230596147e-05
2019-03-11,2019-03-12,0.0001142912680418
2019-03-12,2019-03-13,0.0001032588562612
2019-03-13,2019-03-14,0.0002969620366066
2019-03-14,2019-03-15,7.003770803236358e-05
2019-03-15,2019-03-16,8.715531025828512e-05
2019-03-16,2019-03-17,8.950293663013654e-05
2019-03-17,2019-03-18,6.708069847282744e-05
2019-03-18,2019-03-19,0.0001714661515889
2019-03-19,2019-03-20,0.0001304222284758
2019-03-20,2019-03-21,0.0001652603496458
2019-03-21,2019-03-22,0.000180821650839
2019-03-22,2019-03-23,0.0002143703475771
2019-03-23,2019-03-24,0.0002253481504262
2019-03-24,2019-03-25,0.0001116518290101
2019-03-25,2019-03-26,4.007921997167454e-05
2019-03-26,2019-03-27,0.0001347779002359
2019-03-27,2019-03-28,0.0002521169772334
2019-03-28,2019-03-29,0.0002015701569086
2019-03-29,2019-03-30,0.0002447325820142
2019-03-30,2019-03-31,0.0001173990094827
2019-03-31,2019-04-01,0.0001473601799526
2019-04-01,2019-04-02,0.0002852584269921
2019-04-02,2019-04-03,0.0001675304375654
2019-04-03,2019-04-04,0.0001195197556313
2019-04-04,2019-04-05,9.381743861666426e-05
2019-04-05,2019-04-06,0.000164986976009
2019-04-06,2019-04-07,6.570327647421359e-05
2019-04-07,2019-04-08,7.763430217102585e-05
