"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-02","0.00",",,S","78","H,,S",,,"72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-03","0.00",",,S","81","H,,S","87",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-04","0.00",",,S","83","H,,S","88",",,S","69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-05","0.00",",,S","84","H,,S","90",",,S","65",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-06","0.00",",,S","82","H,,S","88",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-07","0.00",",,S","80","H,,S","89",",,S","68",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-08","0.00",",,S","82","H,,S","90",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-09","0.00",",,S","83","H,,S","89",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-10","0.00",",,S","81","H,,S","88",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-11","0.00",",,S","85","H,,S","90",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-12","0.00",",,S","84","H,,S","90",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-13","0.00",",,S","82","H,,S","87",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-14","0.00",",,S","80","H,,S","86",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-15","0.00",",,S","81","H,,S",,,"72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-16","0.00",",,S","82","H,,S","89",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-17","0.00",",,S","80","H,,S",,,"72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-19","0.00",",,S","82","H,,S","89",",,S","66",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-20","0.00",",,S","80","H,,S",,,"69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-21","0.00",",,S","82","H,,S","90",",,S","69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-22","0.00",",,S","82","H,,S","92",",,S","69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-23","0.00",",,S","82","H,,S","92",",,S","69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-24","0.00",",,S","83","H,,S","92",",,S","70",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-26","0.00",",,S","87","H,,S","94",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-27","0.00",",,S","84","H,,S","94",",,S","70",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-28","0.00",",,S","82","H,,S","91",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-29","0.00",",,S","81","H,,S","92",",,S","67",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-30","0.00",",,S","85","H,,S",,,"70",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-31","0.00",",,S","84","H,,S","92",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-01","0.00",",,S","87","H,,S","94",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-02","0.00",",,S","87","H,,S","93",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-03","0.00",",,S","83","H,,S",,,"72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-04","0.00",",,S","82","H,,S","88",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-05","0.02",",,S","82","H,,S","89",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-06","0.00",",,S","83","H,,S",,,"74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-07","0.00",",,S","85","H,,S","96",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-10","2.51",",,S","84","H,,S","93",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-11","0.00",",,S","82","H,,S","92",",,S","72",",,S"
