YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M
2019,1,1,21.79,26.15,18.6,0.22,14.53
2019,1,2,21.09,25.8,17.52,0.03,13.98
2019,1,3,21.03,26.32,17.05,0.03,13.67
2019,1,4,20.88,26.46,16.77,0.02,13.79
2019,1,5,22.12,27.42,17.82,0.14,15.5
2019,1,6,21.57,26.4,18.19,0.01,13.85
2019,1,7,22.02,26.96,17.6,0.06,15.26
2019,1,8,22.73,27.35,19.58,0.03,15.81
2019,1,9,22.55,27.23,18.7,0.06,15.69
2019,1,10,22.87,27.55,19.04,0.13,15.93
2019,1,11,22.94,27.22,19.76,6.56,16.42
2019,1,12,23.27,27.14,21.08,7.64,17.03
2019,1,13,23.07,25.66,21,14.84,17.21
2019,1,14,23.23,26.44,21.05,10.61,17.03
2019,1,15,23.3,27.18,20.4,5.52,16.66
2019,1,16,23.05,27.01,20.5,2.72,16.36
2019,1,17,22.08,26.69,18.23,0,14.83
2019,1,18,20.7,26.19,16.65,0,13.49
2019,1,19,20.8,26.77,15.73,0,13.43
2019,1,20,22,26.93,18.27,0,14.89
2019,1,21,22.57,27.54,18.69,0.14,15.62
2019,1,22,23.07,28.15,19.14,0.6,16.11
2019,1,23,23.23,28.27,19.77,0.23,16.24
2019,1,24,23.08,27.59,19.08,0.18,16.05
2019,1,25,23.76,28.05,20.65,1.44,17.03
2019,1,26,23.6,27.93,20.62,0.55,16.54
2019,1,27,23.23,28.09,19.66,0,15.26
2019,1,28,22.4,28.5,17.73,0,14.16
2019,1,29,22.05,27.65,16.87,0.02,14.83
2019,1,30,22.87,27.3,19.55,0.12,15.5
2019,1,31,23.16,27.58,20.3,1,15.38
2019,2,1,23.3,28.22,19.61,3.25,15.93
2019,2,2,23.59,28.48,20.3,13.68,16.72
2019,2,3,24.12,28.58,21.3,8.28,17.09
2019,2,4,23.8,27.44,21.36,14.68,17.21
2019,2,5,24.05,27.66,21.99,11.58,17.64
2019,2,6,23.63,27.88,20.81,1.99,16.66
2019,2,7,23.76,28.04,20.25,0.71,16.72
2019,2,8,24.45,28.31,21.34,0.85,17.4
2019,2,9,24.46,28.06,21.85,13,17.46
2019,2,10,23.84,28.57,20.01,2.09,16.3
2019,2,11,23.49,28.14,19.54,1.24,16.42
2019,2,12,23.87,27.91,21.01,0.94,16.36
2019,2,13,24.21,28.68,21.83,1.88,16.85
2019,2,14,24.26,28.68,21.12,2.52,17.15
2019,2,15,24.36,28.87,21.11,4.33,17.15
2019,2,16,24.14,27.07,21.66,16.55,18.19
2019,2,17,25.37,29.94,22.63,4.73,18.01
2019,2,18,25.15,30,22.01,1.56,17.15
2019,2,19,24.26,29.07,20.65,0.61,16.66
2019,2,20,23.34,27.92,19.5,0.5,15.81
2019,2,21,23.87,28.84,19.87,0.68,15.87
2019,2,22,22.75,28.26,18.52,0.57,14.47
2019,2,23,22.41,28.83,17.05,0.16,13.67
2019,2,24,23.35,29.62,17.87,0.12,14.77
2019,2,25,24.69,30.45,19.55,1.38,16.97
2019,2,26,24.79,29.12,22.46,13.7,18.13
2019,2,27,24.63,28.27,22.47,10.56,17.64
2019,2,28,25.26,31.08,21,0.65,16.97
2019,3,1,24.94,30.6,21.46,0.15,16.54
2019,3,2,24.55,30.01,20.45,0.14,16.17
2019,3,3,24.7,29.87,20.98,1.52,16.91
2019,3,4,24.65,30.7,20.04,0.43,15.69
2019,3,5,25.98,32.11,20.9,0.56,16.78
2019,3,6,26.79,33.27,21.65,0.64,16.91
2019,3,7,26.61,33.73,21.28,0.07,15.87
2019,3,8,26.08,33.46,20.44,0.45,15.5
2019,3,9,26.11,32.58,21.8,1.92,15.99
2019,3,10,25.05,31.77,20.6,0.44,14.65
2019,3,11,24.08,30.5,19.2,1.75,14.77
2019,3,12,24.34,31.25,18.96,0.25,14.16
2019,3,13,24.63,31.16,19.37,0.02,14.34
2019,3,14,25.14,32.24,20.43,0,14.1
2019,3,15,24.24,30.72,18.62,0.05,14.65
2019,3,16,25.02,31.01,19.67,0.15,15.56
2019,3,17,25.17,30.3,21.47,1.49,16.36
2019,3,18,25.39,30.63,21.93,3.51,16.85
2019,3,19,25.51,32.26,20.95,0.22,15.2
2019,3,20,25.44,32.82,20.01,0.26,15.01
2019,3,21,25.74,32.26,20.7,3.05,16.36
2019,3,22,26.12,32.48,21.94,0.49,16.54
2019,3,23,26.29,32.47,21.88,2.05,16.78
2019,3,24,25.72,33.64,20.19,0.06,12.45
2019,3,25,24.62,32.65,18.36,0.01,13.12
2019,3,26,25.33,33.19,19.29,0.02,13.67
2019,3,27,26.1,34.28,19.71,0.09,13.49
2019,3,28,26.16,34.73,19.67,0.01,12.33
2019,3,29,26.26,35.05,19.37,0,11.6
2019,3,30,26.59,34.97,19.94,0.01,12.94
2019,3,31,27.69,36.21,20.69,0.13,13.61
2019,4,1,28.32,36.62,21.78,0.38,14.77
2019,4,2,27.65,35.66,21.94,0.29,14.89
2019,4,3,26.9,34.69,21.65,0.17,14.22
2019,4,4,26.76,35.66,20.01,0.03,12.45
2019,4,5,27.58,36.42,21.48,0.03,12.94
2019,4,6,27.99,36.37,21.62,0.05,13.43
2019,4,7,28.02,35.25,22.83,0.02,15.69
2019,4,8,28.45,35.45,23.37,0.15,16.3
2019,4,9,28.98,35.38,24.26,0.12,15.93
2019,4,10,28.59,35.33,23.76,0.16,16.11
2019,4,11,27.75,33.25,24.13,1.97,16.54
2019,4,12,27.59,33.6,23.38,0.75,16.42
2019,4,13,28.17,35.19,23.3,1.09,16.05
