,Region,Month,HCHO reading,Proximity(km)
0,Colombo Proper,2019-01,0.00020149132011022645,0.0
1,Colombo Proper,2019-02,0.00024360189705315366,0.0
2,Colombo Proper,2019-03,0.00024674994426104836,0.0
3,Colombo Proper,2019-04,0.00020289767066509223,0.0
4,Colombo Proper,2019-05,0.00012757847237216544,0.0
5,Colombo Proper,2019-06,0.00011877693331535395,0.0
6,Colombo Proper,2019-07,8.928789032767159e-05,0.0
7,Colombo Proper,2019-08,9.403519915249058e-05,0.0
8,Colombo Proper,2019-09,8.391147466782901e-05,0.0
9,Colombo Proper,2019-10,0.00013916740489083927,0.0
10,Colombo Proper,2019-11,0.0001628067925746477,0.0
11,Colombo Proper,2019-12,0.00015842955922225623,0.0
12,Colombo Proper,2020-01,0.00019869614781369918,0.0
13,Colombo Proper,2020-02,0.0002669844220197345,0.0
14,Colombo Proper,2020-03,0.0002587847854417355,0.0
15,Colombo Proper,2020-04,0.00016645394627984935,0.0
16,Colombo Proper,2020-05,0.00015126137068438523,0.0
17,Colombo Proper,2020-06,8.544704392443211e-05,0.0
18,Colombo Proper,2020-07,0.00013071016320822816,0.0
19,Colombo Proper,2020-08,8.119375702516602e-05,0.0
20,Colombo Proper,2020-09,8.087249315376363e-05,0.0
21,Colombo Proper,2020-10,0.00010030041259873347,0.0
22,Colombo Proper,2020-11,0.0001682891665194166,0.0
23,Colombo Proper,2020-12,0.00019124610126755492,0.0
24,Colombo Proper,2021-01,0.00016518458372925173,0.0
25,Colombo Proper,2021-02,0.00020512200570298,0.0
26,Colombo Proper,2021-03,0.00024749775834634845,0.0
27,Colombo Proper,2021-04,0.00020006248621941332,0.0
28,Colombo Proper,2021-05,0.0001547337131189387,0.0
29,Colombo Proper,2021-06,9.639090434318168e-05,0.0
30,Colombo Proper,2021-07,7.30643422491495e-05,0.0
31,Colombo Proper,2021-08,0.00010687708872218418,0.0
32,Colombo Proper,2021-09,0.00010032309257613768,0.0
33,Colombo Proper,2021-10,8.039854487654015e-05,0.0
34,Colombo Proper,2021-11,6.70915395610193e-05,0.0
35,Colombo Proper,2021-12,0.0002086624121487181,0.0
36,Colombo Proper,2022-01,0.00022214602406031616,0.0
37,Colombo Proper,2022-02,0.00022893873484340678,0.0
38,Colombo Proper,2022-03,0.00021445967494119147,0.0
39,Colombo Proper,2022-04,0.00015105061472691093,0.0
40,Colombo Proper,2022-05,0.00013748808719354035,0.0
41,Colombo Proper,2022-06,0.0001099230212346846,0.0
42,Colombo Proper,2022-07,9.717901552554407e-05,0.0
43,Colombo Proper,2022-08,0.00011019706251615782,0.0
44,Colombo Proper,2022-09,7.521566142096986e-05,0.0
45,Colombo Proper,2022-10,0.0001076134966226772,0.0
46,Colombo Proper,2022-11,0.00015921822391619592,0.0
47,Colombo Proper,2022-12,0.00016421798332822313,0.0
48,Colombo Proper,2023-01,0.0002114194575846428,0.0
49,Colombo Proper,2023-02,0.00019372893412669272,0.0
50,Colombo Proper,2023-03,0.00021242775582841716,0.0
51,Colombo Proper,2023-04,0.00021033282112450536,0.0
52,Colombo Proper,2023-05,0.0001418399728181788,0.0
53,Colombo Proper,2023-06,0.00012436221598897208,0.0
54,Colombo Proper,2023-07,9.04746455696769e-05,0.0
55,Colombo Proper,2023-08,7.806809218924083e-05,0.0
56,Colombo Proper,2023-09,0.00012948916656589283,0.0
57,Colombo Proper,2023-10,0.00013247450697670643,0.0
58,Colombo Proper,2023-11,0.00016804701017023103,0.0
59,Colombo Proper,2023-12,0.00018196533026042843,0.0
60,"Deniyaya, Matara",2019-01,9.76191801818393e-05,44.0
61,"Deniyaya, Matara",2019-02,0.00010078349564202798,44.0
62,"Deniyaya, Matara",2019-03,0.00012625500936018375,44.0
63,"Deniyaya, Matara",2019-04,0.00012282347878714344,44.0
64,"Deniyaya, Matara",2019-05,0.00010546444038537082,44.0
65,"Deniyaya, Matara",2019-06,8.927200946286003e-05,44.0
66,"Deniyaya, Matara",2019-07,7.226233584573957e-05,44.0
67,"Deniyaya, Matara",2019-08,5.787836942318446e-05,44.0
68,"Deniyaya, Matara",2019-09,6.332182248741505e-05,44.0
69,"Deniyaya, Matara",2019-10,5.0109946956361453e-05,44.0
70,"Deniyaya, Matara",2019-11,8.410958791123536e-05,44.0
71,"Deniyaya, Matara",2019-12,9.12486096518399e-05,44.0
72,"Deniyaya, Matara",2020-01,9.30250308685685e-05,44.0
73,"Deniyaya, Matara",2020-02,0.00011212673014728046,44.0
74,"Deniyaya, Matara",2020-03,0.00014747730560035763,44.0
75,"Deniyaya, Matara",2020-04,0.0001051685565136308,44.0
76,"Deniyaya, Matara",2020-05,8.752778667204004e-05,44.0
77,"Deniyaya, Matara",2020-06,8.191615880433e-05,44.0
