Region,Current Date,Next Date,HCHO reading,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status,Month
Colombo Proper,2019-01-01,2019-01-02,0.0001969834395781,0,0,Before,Before,1
Colombo Proper,2019-01-02,2019-01-03,0.0002625522171968,0,0,Before,Before,1
Colombo Proper,2019-01-03,2019-01-04,9.852118897938794e-05,0,0,Before,Before,1
Colombo Proper,2019-01-04,2019-01-05,0.0002099320518114,0,0,Before,Before,1
Colombo Proper,2019-01-05,2019-01-06,0.0001785337298892,0,0,Before,Before,1
Colombo Proper,2019-01-06,2019-01-07,0.0001082296700235,0,0,Before,Before,1
Colombo Proper,2019-01-07,2019-01-08,0.0003926829280477,0,0,Before,Before,1
Colombo Proper,2019-01-08,2019-01-09,9.153156350685353e-05,0,0,Before,Before,1
Colombo Proper,2019-01-09,2019-01-10,0.0001205978992853,0,0,Before,Before,1
Colombo Proper,2019-01-10,2019-01-11,0.0001297723562983,0,0,Before,Before,1
Colombo Proper,2019-01-11,2019-01-12,0.0002239188166801,0,0,Before,Before,1
Colombo Proper,2019-01-12,2019-01-13,0.0001569418094178,0,0,Before,Before,1
Colombo Proper,2019-01-13,2019-01-14,0.0001748107204656,0,0,Before,Before,1
Colombo Proper,2019-01-14,2019-01-15,0.0001336291906862,0,0,Before,Before,1
Colombo Proper,2019-01-15,2019-01-16,6.374417842690063e-05,0,0,Before,Before,1
Colombo Proper,2019-01-16,2019-01-17,0.0001181062250815,0,0,Before,Before,1
Colombo Proper,2019-01-17,2019-01-18,0.0002472555222423,0,0,Before,Before,1
Colombo Proper,2019-01-18,2019-01-19,3.667525352047757e-05,0,0,Before,Before,1
Colombo Proper,2019-01-19,2019-01-20,0.000405750086815,0,0,Before,Before,1
Colombo Proper,2019-01-20,2019-01-21,0.0001687856216479,0,0,Before,Before,1
Colombo Proper,2019-01-21,2019-01-22,0.0003881549328739,0,0,Before,Before,1
Colombo Proper,2019-01-22,2019-01-23,0.0003282922940445,0,0,Before,Before,1
Colombo Proper,2019-01-23,2019-01-24,0.0002147798144691,0,0,Before,Before,1
Colombo Proper,2019-01-24,2019-01-25,0.000234724519641,0,0,Before,Before,1
Colombo Proper,2019-01-25,2019-01-26,0.0002820915300341,0,0,Before,Before,1
Colombo Proper,2019-01-26,2019-01-27,0.0002507263493088,0,0,Before,Before,1
Colombo Proper,2019-01-27,2019-01-28,0.0001973288435314,0,0,Before,Before,1
Colombo Proper,2019-01-28,2019-01-29,0.0002555121674807,0,0,Before,Before,1
Colombo Proper,2019-01-29,2019-01-30,0.0002519222169299,0,0,Before,Before,1
Colombo Proper,2019-01-30,2019-01-31,0.000171363573601,0,0,Before,Before,1
Colombo Proper,2019-01-31,2019-02-01,0.0001523802119023,0,0,Before,Before,1
Colombo Proper,2019-02-01,2019-02-02,0.0003537610010169,0,0,Before,Before,2
Colombo Proper,2019-02-02,2019-02-03,0.0002755728995643,0,0,Before,Before,2
Colombo Proper,2019-02-03,2019-02-04,0.0002318846498078,0,0,Before,Before,2
Colombo Proper,2019-02-04,2019-02-05,0.0002400790838955,0,0,Before,Before,2
Colombo Proper,2019-02-05,2019-02-06,0.0003618487680796,0,0,Before,Before,2
Colombo Proper,2019-02-06,2019-02-07,0.0003430663631539,0,0,Before,Before,2
Colombo Proper,2019-02-07,2019-02-08,0.0002123314538243,0,0,Before,Before,2
Colombo Proper,2019-02-08,2019-02-09,0.0001679798012516,0,0,Before,Before,2
Colombo Proper,2019-02-09,2019-02-10,0.0003816050368887,0,0,Before,Before,2
Colombo Proper,2019-02-10,2019-02-11,0.0002650819171274,0,0,Before,Before,2
Colombo Proper,2019-02-11,2019-02-12,0.0001981789630254,0,0,Before,Before,2
Colombo Proper,2019-02-12,2019-02-13,5.8587178500602015e-05,0,0,Before,Before,2
Colombo Proper,2019-02-13,2019-02-14,0.0002542805951476,0,0,Before,Before,2
Colombo Proper,2019-02-14,2019-02-15,0.0002197207065379,0,0,Before,Before,2
Colombo Proper,2019-02-15,2019-02-16,0.0002239912172577,0,0,Before,Before,2
