YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M
2019,1,1,21.72,26.44,18.53,0.09,14.47
2019,1,2,21.18,25.98,17.62,0.01,13.98
2019,1,3,20.96,26.36,16.8,0.02,13.55
2019,1,4,20.68,26.45,16.23,0,13.31
2019,1,5,22.26,28.07,17.8,0.04,15.44
2019,1,6,21.56,26.76,17.76,0,13.79
2019,1,7,22.34,27.68,17.8,0.01,15.26
2019,1,8,22.92,27.79,19.48,0.01,15.69
2019,1,9,22.54,27.44,18.69,0,15.32
2019,1,10,22.83,27.76,19.2,0.01,15.69
2019,1,11,22.98,27.76,19.6,1.26,16.05
2019,1,12,23.36,27.8,20.59,5.01,16.66
2019,1,13,23.46,27.03,21.01,17.19,17.15
2019,1,14,23.87,27.43,21.82,12.31,17.21
2019,1,15,23.48,27.51,20.57,1.94,16.54
2019,1,16,23.19,27.55,20,1.62,16.11
2019,1,17,21.98,26.89,18.12,0,14.28
2019,1,18,20.87,26.58,16.46,0,13.31
2019,1,19,20.91,26.98,15.73,0,13.18
2019,1,20,21.76,27.59,17.09,0,14.28
2019,1,21,22.81,28.31,18.63,0,15.32
2019,1,22,23.49,29.09,19.19,0,15.81
2019,1,23,23.73,29.3,19.49,0,16.11
2019,1,24,23.82,28.92,19.62,0,16.05
2019,1,25,24.54,29.16,20.68,0.3,16.97
2019,1,26,24.44,29.11,21.24,0.16,16.48
2019,1,27,23.63,29.19,19.37,0,15.2
2019,1,28,23.01,29.31,17.81,0,13.92
2019,1,29,22.93,28.86,17.64,0,14.89
2019,1,30,23.35,28.51,19.15,0.16,15.38
2019,1,31,23.62,28.6,20.12,0.2,15.32
2019,2,1,23.88,29.29,19.68,1.41,15.56
2019,2,2,24.09,29.64,20.02,11.18,16.11
2019,2,3,24.63,29.69,21.06,6.47,16.85
2019,2,4,24.66,29.03,21.95,13.35,17.4
2019,2,5,24.82,29.28,22.4,9.37,17.7
2019,2,6,24.23,29.23,20.87,0.34,16.36
2019,2,7,24.72,30.2,19.87,0.04,16.48
2019,2,8,25.73,30.63,21.8,0.02,17.52
2019,2,9,24.76,27.67,22.6,29.16,17.7
2019,2,10,24.53,29.37,20.68,4.63,16.66
2019,2,11,24.19,29.37,20.37,0.05,16.54
2019,2,12,24.48,29.02,21.29,0.11,16.36
2019,2,13,24.58,29.58,21.67,0.21,16.48
2019,2,14,24.92,29.69,21.21,1.08,17.21
2019,2,15,25.15,30.13,21.65,1.57,17.4
2019,2,16,25.69,30.31,22.12,8.25,17.94
2019,2,17,26.26,31,22.68,2.06,17.64
2019,2,18,25.99,30.97,22.12,0.1,16.91
2019,2,19,25.18,31.03,20.54,0.03,16.17
2019,2,20,24.05,29.62,19.33,0.01,15.5
2019,2,21,24.55,30.52,19.94,0.7,15.69
2019,2,22,23.45,29.73,18.52,0.62,14.34
2019,2,23,23.15,30.52,17.25,0.01,13.61
2019,2,24,23.94,31.51,17.45,0,14.16
2019,2,25,25.76,32.77,19.22,0.02,16.24
2019,2,26,26.27,31.64,22.16,5.73,17.4
2019,2,27,24.85,27.54,22.9,6.18,17.82
2019,2,28,25.73,31.13,21.69,1.05,16.91
2019,3,1,26.02,32.82,21.44,0,15.93
2019,3,2,25.54,32.23,20.51,0.02,15.81
2019,3,3,25.94,32.74,21.38,0.6,16.36
2019,3,4,25.58,33.09,19.3,0.17,14.34
2019,3,5,26.73,34.08,20.3,0.4,15.99
2019,3,6,27.4,34.05,22.01,0.17,16.72
2019,3,7,27.87,35.62,22.08,0,15.81
2019,3,8,27.69,35.63,21.03,0.04,14.71
2019,3,9,27.28,34.32,22.48,3.79,16.24
2019,3,10,26.1,34.23,20.18,0.49,14.04
2019,3,11,25.18,33.23,18.75,0,13.85
2019,3,12,25.49,33.88,18.88,0,13.18
2019,3,13,25.76,33.87,19.44,0.01,14.04
2019,3,14,26.09,34.48,20.63,0,13.55
2019,3,15,25.87,34.19,18.58,0.02,14.1
2019,3,16,26.61,34.94,20.2,0.52,15.08
2019,3,17,26.58,33.55,21.58,0.87,15.81
2019,3,18,26.77,33.98,21.94,3.06,16.3
2019,3,19,27.37,35.59,22.08,0.14,14.77
2019,3,20,27.34,35.74,20.7,0,13.85
2019,3,21,27.49,35.82,20.96,4.71,15.56
2019,3,22,27.84,35.26,22.14,0.49,16.11
2019,3,23,28.05,35.59,22.23,0.84,16.05
2019,3,24,27.26,36.65,20.44,0.04,11.78
2019,3,25,25.94,35.47,18.53,0,11.29
2019,3,26,26.98,36.43,18.73,0,13.37
2019,3,27,27.69,37.37,19.54,0,12.63
2019,3,28,27.61,37.12,20.25,0,11.6
2019,3,29,27.88,37.43,20.83,0,11.11
2019,3,30,28.2,37.63,20.56,0.01,12.15
2019,3,31,28.93,37.9,20.95,0.01,13
2019,4,1,29.48,37.87,22.05,0,14.1
2019,4,2,29.51,38.21,22.32,0,13.67
2019,4,3,29.19,38.19,22.12,0.05,12.94
2019,4,4,28.99,38.69,21.16,0.07,11.35
2019,4,5,28.89,37.51,22.52,0.01,13
2019,4,6,29.65,37.9,22.85,0,12.94
2019,4,7,29.89,37.33,23.43,0,14.95
2019,4,8,30.04,37.47,24.61,0.01,15.69
2019,4,9,30.54,37.95,24.64,0.02,15.14
2019,4,10,30.35,37.87,24.62,0.86,15.38
2019,4,11,28.58,34.06,24.69,7.07,16.66
2019,4,12,29.77,38.01,23.4,0.67,15.69
2019,4,13,29.95,38.23,23.96,3.82,15.81
2019,4,14,29.77,38.26,22.95,0.85,14.77
2019,4,15,29.77,37.62,23.55,0.21,14.53
2019,4,16,29.16,35.72,24.69,3.65,16.17
2019,4,17,27.62,33.31,24.36,17.36,18.07
2019,4,18,29.11,36.87,23.55,1.48,15.75
2019,4,19,29.13,36.27,23.13,0.39,16.11
2019,4,20,28.3,33.91,24.7,15.21,16.97
2019,4,21,27.57,32.83,23.53,5.01,17.15
2019,4,22,28.3,34.05,23.69,5.58,17.09
2019,4,23,28.25,33.51,24.22,1.03,16.72
2019,4,24,28.78,36.1,23.43,0.72,16.11
2019,4,25,28.42,34.65,23.98,9.77,16.36
2019,4,26,27.26,32.8,23.61,1.79,15.62
2019,4,27,29.01,36.26,22.8,0.07,14.71
2019,4,28,29.04,36.08,23.42,0.99,16.36
2019,4,29,27.44,32.83,23.44,10.3,17.58
2019,4,30,26.97,32.09,24,3.1,18.25
2019,5,1,26.9,30.55,23.55,1.36,18.62
2019,5,2,27.73,31.72,25.12,0.89,18.98
2019,5,3,27.49,31.05,25.24,1.32,19.23
2019,5,4,27.65,33.31,24.06,0.76,17.7
2019,5,5,28.26,34.05,24.33,0,17.03
